id,charter_name,subdistrict,district,province,publish_date,title,leader,academic_supporter
1,อาหารปลอดภัยบ้านทุ่งธารทอง,โกสัมพี,โกสัมพีนคร,กำแพงเพชร,1 สิงหาคม 2565,อาหารปลอดภัยบ,นายอำนวย พุ่มพวง,นางสาววิไลลักษณ์ โพธิชัย
2,สร้างเสริมสุขภาพผู้สูงอายุลานไผ่,ห้วยยั้ง,พรานกระต่าย,กำแพงเพชร,1 สิงหาคม 2565,สร้างเสริมสุขภาพผู้สูงอายุ,นางดอกไม้ พลเคน,นางสาวสุดารัตน์ ศิริพงษ์
3,อาหารปลอดภัยบ้านหนองปลาไหล,ประชาสุขสันต์,ลานกระบือ,กำแพงเพชร,1 สิงหาคม 2565,อาหารปลอดภัย,นางชรินทร์ เสนานิคม,นางสาววิไลลักษณ์ โพธิชัย
4,อาหารปลอดภัยบ้านวังยาง,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,1 สิงหาคม 2565,อาหารปลอดภัย,นางแสงเธียร พรมมี,นางสาววิไลลักษณ์ โพธิชัย
5,อาหารปลอดภัยบ้านดอนแขวน,เกาะตาล,ขาณุวรลักษบุรี,กำแพงเพชร,1 สิงหาคม 2565,อาหารปลอดภัย,นางคณิตา พิมพา,นางสาววิไลลักษณ์ โพธิชัย
6,การจัดการขยะบ้านบึงสำราญน้อย,ถาวรวัฒนา,ทรายทองวัฒนา,กำแพงเพชร,1 สิงหาคม 2565,การจัดการขยะ,นายฉัตรธร พรดอนก่อ,นายตวงเพชร ทองแทน
7,การบริโภคผักและผลไม้ของนักเรียน รร.บ้านถนนงาม มิตรภาพที่27,คลองคลุง,คลองคลุง,กำแพงเพชร,1 สิงหาคม 2565,การบริโภคผักและผลไม้ของนักเรียน ,นายสมพงษ์ แป้นพุดเย็น,อ.ดร.รัษฎากร วินิจกุล
8,อาหารปลอดภัยคลองห้วยยั้ง,ห้วยยั้ง,พรานกระต่าย,กำแพงเพชร,1 สิงหาคม 2565,อาหารปลอดภัย,นางผ่องศรี ยอดมา,นางสาววิไลลักษณ์ โพธิชัย
9,การมีกิจกรรมทางกายชุมชนพัฒนาวิมล,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,1 สิงหาคม 2565,การมีกิจกรรมทางกาย,นางลัดดา ทองสุข,นายสุวรรณ สุทธิศักดิ์
10,การป้องกันและแก้ไขปัญหาการกลั่นแกล้งในโรงเรียนบ่อแก้ววิทยา,พานทอง,ไทรงาม,กำแพงเพชร,1 สิงหาคม 2565,การป้องกันและแก้ไขปัญหาการกลั่นแกล้งในโรงเรียน,นางจินตนา สุหงษา,นางสาวสุดารัตน์ ศิริพงษ์
