id,charter_name,subdistrict,district,province,publish_date,title,leader,academic_supporter
1,โรงเรียนบ้านท่าไม้ สุขภาพดี สูงดีสมส่วน,ท่าไม้,เมือง,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนบ้านท่าไม้,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
2,สูง ดี สมส่วนชวนกันหุ่นดี วิถีนางลือ โรงเรียนวัดนางลือ,นางลือ,เมือง,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนวัดนางลือ,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
3,เด็กคลองบุญ healthy หุ่นดี สมส่วน,มะขามเฒ่า,วัดสิงห์,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนวัดคลองบุญ,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
4,ส่งเสริมสุขภาพเด็กบ้านน้ำพุ สูงดีสมส่วน “Healthy students”,สะพานหิน,หนองมะโมง,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนบ้านน้ำพุ,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
5,เด็กสนามชัย สูงดีสมส่วน “good health”,ดอนกำ,สรรคบุรี,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนวัดสนามชัย,นางสาวพรชนก พุ่มพงษ์
6,ดักคะนนวัยใส ใส่ใจ ภาวะสมส่วน,ธรรมมามูล,เมือง,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนดักคะนน,นางสาวพรชนก พุ่มพงษ์
7,“ลูกเทพรัตน์ หุ่นดี สูงดีสมสวน”,ดงคอน,สรรคบุรี,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนเทพรัตน์,นางสาวพรชนก พุ่มพงษ์
8,บางไก่เถื่อน happy สูงดีสมส่วน โรงเรียนบางไก่เถื่อนฯ,ตลุก,สรรพยา,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนบางไก่เถื่อน,นางสาวพรชนก พุ่มพงษ์
9,หนองตาตน สูงดี สมส่วน สมวัย,อู่ตะเภา,มโนรมย์,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนหนองตาตน,นางสาวพรชนก พุ่มพงษ์
10,สูงดี สมส่วน สดใส สมวัย สไตล์วัดราษฎร์ศรัทธาราม,เด่นใหญ่,หันคา,ชัยนาท,กรกฎาคม 2565, สุขภาพดี สูงดีสมส่วน,โรงเรียนวัดราษฎร์ศรัทธาราม,นางสาวพรชนก พุ่มพงษ์
11,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ หมู่ที่ 7,นางลือ,เมือง,ชัยนาท,กรกฎาคม 2565,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ,นางธนพร ใจแสน,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
12,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ หมู่ที่ 8,นางลือ,เมือง,ชัยนาท,กรกฎาคม 2565,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ,นายอนิรุทธิ์ อัศวราพานิช,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
13,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ หมู่ที่ 9,นางลือ,เมือง,ชัยนาท,กรกฎาคม 2565,การมีส่วนร่วมสร้างเสริมพฤติกรรมจัดการตนเองโรคความดันโลหิตสูงของผู้สูงอายุ,นางสาวพัชรินทร์ ปานสุข,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
14,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วมหมู่ที่ 1 บ้านท่าสำโรง,บางขุด,สรรคบุรี,ชัยนาท,กรกฎาคม 2565,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วม,นางชาลิษา รักซ้อน,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
15,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วมหมู่ 2 บ้านท่าสะตือ,บางขุด,สรรคบุรี,ชัยนาท,กรกฎาคม 2565,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วม,นางสาวจิระพันธุ์ เวชคง,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
16,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วมหมู่ 3 บ้านท่าขลาย,บางขุด,สรรคบุรี,ชัยนาท,กรกฎาคม 2565,สร้างเสริมพฤติกรรมจัดการตนเอง ของผู้สูงอายุ เพื่อลดเสี่ยง-ลดโรคความดันโลหิตสูงแบบมีส่วนร่วม,นายปลิว เณรแตง,ว่าที่ร้อยตรีหญิงชนิดา คุ้มครอง
